code;nature;nom
CFT;CFT;Coup de pouce Chauffage des bâtiments résidentiels collectifs et tertiaires
CRC;CRC;Coup de pouce Rénovation performante de bâtiment résidentiel collectif
CRM;CRM;Coup de pouce Rénovation performante d'une maison individuelle
CDP-TH;CDP;Coup de pouce Chauffage
CTH;CTH;Coup de pouce Thermostat avec régulation performante
CDP-EN;CDP;Coup de pouce Isolation
CDC-LD;CDC;Coup de pouce CEE Covoiturage longue distance
CDC-CD;CDC;Coup de pouce CEE Covoiturage courte distance
ZNI;ZNI;Zones non interconnectées au réseau métropolitain continental de transport d'électricité
GPE-ZNI;GPE ZNI;Zones non interconnectées au réseau métropolitain continental de transport d'électricité - Grande précarité énergétique
ETS;ETS;Opérations éligibles au système d'échange des quotas
CPE;CPE;Contrat de performance énergétique
GPE;GPE;Grande précarité énergétique
