id;code;version;date_debut;date_fin
CDC-LDv47-1;CDC-LD;A47-1;2023-01-01;
CDC-CDv47-1;CDC-CD;A47-1;2023-01-01;
CDP-THv20-1;CDP-TH;A20-1;2019-01-11;2019-07-17
CDP-THv22-1;CDP-TH;A22-1;2019-07-18;2020-04-01
CDP-THv26-1;CDP-TH;A26-1;2020-04-02;2021-03-13
CDP-THv33-1;CDP-TH;A33-1;2021-03-14;2021-04-16
CDP-THv35-1;CDP-TH;A35-1;2021-04-17;2021-10-02
CDP-THv37-1;CDP-TH;A37-1;2021-10-14;2022-03-31
CDP-THv38-1;CDP-TH;A38-1;2021-10-03;2021-10-13
CDP-THv39-1;CDP-TH;A39-1;2022-04-01;2022-08-04
CDP-THv43-1;CDP-TH;A43-1;2022-09-01;2022-10-28
CDP-THv44-1;CDP-TH;A44-1;2022-08-05;2022-08-31
CDP-THv46-1;CDP-TH;A46-1;2022-10-29;2023-08-28
CDP-THv50-1;CDP-TH;A50-1;2023-03-01;2023-10-06
CDP-THv52-1;CDP-TH;A52-1;2023-10-07;
CDP-ENv20-1;CDP-EN;A20-1;2019-01-11;2020-04-01
CDP-ENv26-1;CDP-EN;A26-1;2020-04-02;
CFTv27-1;CFT;A27-1;2020-05-20;2021-04-16
CFTv35-1;CFT;A35-1;2021-04-17;2022-08-31
CFTv43-1;CFT;A43-1;2022-09-01;2022-10-28
CFTv46-1;CFT;A46-1;2022-10-29;2023-01-13
CFTv50-1;CFT;A50-1;2023-01-14;2023-02-28
CFTv50-1;CFT;A50-1;2023-03-01;
CPEv14-1;CPE;A14-1;2015-01-01;2020-06-30
CPEv27-1;CPE;A27-1;2020-07-01;2021-12-23
CPEv40-1;CPE;A40-1;2021-12-24;
CRCv31-1;CRC;A31-1;2020-10-12;2021-03-31
CRCv33-1;CRC;A33-1;2021-04-01;2021-04-16
CRCv35-1;CRC;A35-1;2021-04-17;2021-12-31
CRCv39-1;CRC;A39-1;2022-01-01;2022-10-28
CRCv46-1;CRC;A46-1;2022-10-29;2023-07-01
CRCv51-1;CRC;A51-1;2023-07-02;
CRMv31-1;CRM;A31-1;2020-10-12;2021-03-31
CRMv33-1;CRM;A33-1;2021-04-01;2021-04-17
CRMv35-1;CRM;A35-1;2021-04-17;2021-12-31
CRMv39-1;CRM;A39-1;2022-01-01;2023-07-01
CRMv51-1;CRM;A51-1;2023-07-02;
CTHv29-1;CTH;A29-1;2020-06-25;2021-04-16
CTHv35-1;CTH;A35-1;2021-04-17;
ETSv14-1;ETS;A14-1;2015-01-01;2019-09-22
ETSv23-1;ETS;A23-1;2019-09-23;2021-04-16
ETSv35-1;ETS;A35-1;2021-04-17;
GPEv15-1;GPE;A15-1;2016-01-01;2021-04-16
GPEv35-1;GPE;A35-1;2021-04-17;2022-05-14
GPEv42-1;GPE;A42-1;2022-05-15;
GPE-ZNIv14-1;GPE-ZNI;A14-1;2015-01-01;2015-12-31
GPE-ZNIv23-1;GPE-ZNI;A23-1;2016-01-01;2021-04-16
GPE-ZNIv35-1;GPE-ZNI;A35-1;2021-04-17;
ZNIv14-1;ZNI;A14-1;2015-01-01;2015-12-31
ZNIv23-1;ZNI;A23-1;2016-01-01;2021-04-16
ZNIv35-1;ZNI;A35-1;2021-04-17;
